date,user_id,age,country,gender,track_title,track_id,artist_name,artist_id,album_name,album_id,genre
2020-07-27 08:22:08.908,ashawcross1@exblog.jp,48,CN,Male,Born to Run,6hTcuIQa0sxrrByu9wTD7s,Bruce Springsteen,3eqjTLE0HfPfh78zjh6TqT,Born To Run,43YIoHKSrEw2GJsWmhZIpu,singer-songwriter
2020-05-13 11:09:23.450,ashawcross1@exblog.jp,48,CN,Male,Sunshine,5U6DAxdqIdKGptMgJ5xHit,The Black Moods,3SMJIplWXJ4qwuuGRHZyJH,Sunshine,1MCvHmmNmCKkx6Ihmvoo74,tempe indie
2020-07-12 00:10:47.046,ashawcross1@exblog.jp,48,CN,Male,Whole Lotta Love - 1990 Remaster,0hCB0YR03f6AmQaHbwWDe8,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Led Zeppelin II (1994 Remaster),70lQYZtypdCALtFVlQAcvx,rock
2020-05-15 00:06:31.113,ashawcross1@exblog.jp,48,CN,Male,S.O.B.,1VPUpUwtbpoRVXt0txVU0w,Nathaniel Rateliff & The Night Sweats,02seUFsFQP7TH4hLrTj77o,Nathaniel Rateliff & The Night Sweats,1uJRMyfjWu3255ihMnNuj4,stomp and holler
2020-10-16 23:52:36.657,ashawcross1@exblog.jp,48,CN,Male,Cochise,1TDk2Jmi4dVZhm2dum3Jim,Audioslave,2ziB7fzrXBoh1HUPS6sVFn,Audioslave,78guAsers0klWl6RwzgDLd,supergroup
2020-03-19 16:29:40.577,ashawcross1@exblog.jp,48,CN,Male,Not for You - Remastered,5gdmwS7vtRb8AGGRio84uX,Pearl Jam,1w5Kfo2jwwIPruYS2UWh56,Vitalogy,5pd9B3KQWKshHw4lnsSLNy,rock
2020-10-04 04:12:43.708,ashawcross1@exblog.jp,48,CN,Male,You Really Got Me - Mono Mix,29SyMC0plk6qw8NMF7lfRL,The Kinks,1SQRv42e4PjEYfPhS0Tk9E,Kinks,08G3mGQXuHItbbsFAz50gJ,rock
2020-06-30 20:49:23.079,ashawcross1@exblog.jp,48,CN,Male,American Girl,7MRyJPksH3G2cXHN8UKYzP,Tom Petty and the Heartbreakers,4tX2TplrkIP4v05BNC903e,Tom Petty & The Heartbreakers,6TLTd0P2CUI0Q29AQ1LyFi,soft rock
2020-03-31 07:37:04.092,ashawcross1@exblog.jp,48,CN,Male,Smoke On The Water - Remastered 2012,5MMnwYs0hIxkENRsbkWJ2G,Deep Purple,568ZhdwyaiCyOGJRtNYhWf,Machine Head (Remastered),32NQ56VZDTXSH3SMv4XSGN,rock
2020-04-20 17:28:03.325,ashawcross1@exblog.jp,48,CN,Male,Cochise,1TDk2Jmi4dVZhm2dum3Jim,Audioslave,2ziB7fzrXBoh1HUPS6sVFn,Audioslave,78guAsers0klWl6RwzgDLd,supergroup
2020-03-02 03:37:07.344,ashawcross1@exblog.jp,48,CN,Male,Double Denim Hop,6CyAY7VzObWzKyjOyk5jpF,Buzzard Buzzard Buzzard,69ilUSFj31FA2iLHtegRwi,Double Denim Hop,3xDX86EGoSx0JXAEv83k3b,welsh indie
2020-02-05 10:19:36.569,ashawcross1@exblog.jp,48,CN,Male,Living In A Ghost Town,5RrrQhJKKKMJt3wB5n2N3t,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,Living In A Ghost Town,78s6su3Cox4tVqNi6uTuCR,rock
2020-10-17 03:23:35.419,ashawcross1@exblog.jp,48,CN,Male,Double Denim Hop,6CyAY7VzObWzKyjOyk5jpF,Buzzard Buzzard Buzzard,69ilUSFj31FA2iLHtegRwi,Double Denim Hop,3xDX86EGoSx0JXAEv83k3b,welsh indie
2020-07-15 20:35:52.401,ashawcross1@exblog.jp,48,CN,Male,Never Meant to Be,0MZ2Za6WjvFWBcoojKgyqX,Welshly Arms,1xKrH6GSh9CJh8nYwbqW7B,Welshly Arms,5YREw7QgCXdmhXPiiCJdaN,modern rock
2020-03-09 22:03:38.149,ashawcross1@exblog.jp,48,CN,Male,American Woman,3X6iIrFuQoCshIWBseEKPl,Lenny Kravitz,5gznATMVO85ZcLTkE9ULU7,5,6MCNMOCRsh6nxs7PNzc0zN,rock
2020-05-22 02:52:42.419,ashawcross1@exblog.jp,48,CN,Male,American Woman,3X6iIrFuQoCshIWBseEKPl,Lenny Kravitz,5gznATMVO85ZcLTkE9ULU7,5,6MCNMOCRsh6nxs7PNzc0zN,rock
2020-05-07 19:01:47.185,ashawcross1@exblog.jp,48,CN,Male,Quick Escape,3FoykAESe8MNT69DpM6B4c,Pearl Jam,1w5Kfo2jwwIPruYS2UWh56,Quick Escape,1hiDXsDWyQkChURbrmdgsY,rock
2020-03-18 23:14:34.781,ashawcross1@exblog.jp,48,CN,Male,Jet Airliner,2zI3bUYn2pcF27of6i2oqK,Steve Miller Band,6QtGlUje9TIkLrgPZrESuk,Greatest Hits 1974-78,5hLazW5a3Ysgy3dncwGgUn,soft rock
2020-07-16 23:17:23.211,ashawcross1@exblog.jp,48,CN,Male,I Wanna Rock,70Z9t1qhytWtG4cCmmi7mU,Twisted Sister,7b85ve82Sh36a3UAx74wut,Stay Hungry,0dzqapIToiOhULGvzDKpXm,rock
2020-04-06 04:42:50.001,ashawcross1@exblog.jp,48,CN,Male,That Dress - Demo,6RU7KnvzXFxCJERQuFcCR5,The Pale White,3uhfMjcE5HJqMIWh3Iolw0,That Dress (Demo),1s65VLQ9UpVAwTMDopPCp1,rock
2020-05-12 07:15:24.720,ashawcross1@exblog.jp,48,CN,Male,Black Smoke Rising,32BEasyNQgqXQJKoVa0fUw,Greta Van Fleet,4NpFxQe2UvRCAjto3JqlSl,From The Fires,6uSnHSIBGKUiW1uKQLYZ7w,rock
2020-10-18 15:22:14.416,ashawcross1@exblog.jp,48,CN,Male,Thank God I'm Not You,4YZVtRbdGOhHdGNi4JpCL5,Himalayas,71NBOcJ9lMeXqnbnya1z0x,Thank God I'm Not You,78vmVv9bN0amzSiE1Fvzav,welsh indie
2020-05-27 21:51:32.113,ashawcross1@exblog.jp,48,CN,Male,Crawl,3YvSaCeNvGlFzIU1cFC5mG,Kings of Leon,2qk9voo8llSGYcZ6xrBzKx,Only By The Night,5CZR6ljD0x9fTiS4mh9wMp,rock
2020-06-13 00:51:54.547,ashawcross1@exblog.jp,48,CN,Male,Thunderstruck,52UWtKlYjZO3dHoRlWuz9S,AC/DC,711MCceyCBcFnzjGY4Q7Un,Iron Man 2,4ydl8Ci7OsndhI2ALnrpIv,rock
2020-03-13 02:29:53.875,ashawcross1@exblog.jp,48,CN,Male,Shine A Little Light,365TSrFPqM66giaxJuafR3,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,"""Let's Rock""",0aA9rYw8PEv9G7tVIJ9dKg,rock
2020-06-18 23:49:37.537,ashawcross1@exblog.jp,48,CN,Male,Chelsea Dagger,6kWfw7q53xntwe6GfZjkgx,The Fratellis,3M4ThdJR28z9eSMcQHAZ5G,The Man Cave,7na5eCG3UyY1JixmiVx2Eg,scottish rock
2020-09-30 04:15:17.717,ashawcross1@exblog.jp,48,CN,Male,Born to Run,6hTcuIQa0sxrrByu9wTD7s,Bruce Springsteen,3eqjTLE0HfPfh78zjh6TqT,Born To Run,43YIoHKSrEw2GJsWmhZIpu,singer-songwriter
2020-02-14 19:13:14.851,ashawcross1@exblog.jp,48,CN,Male,Down the Line,1ZkZUFMTLCmfStzUKwtCPB,The Shelters,7LrFQFaZaxfa9deqkjvc89,Down the Line,3uQBN14K4N0fTIyRsnUyLu,modern alternative rock
2020-09-16 07:07:21.800,ashawcross1@exblog.jp,48,CN,Male,Oh No,6rF4s1wwsOa2EZF5MF6D3B,Goodbye June,1l9I7G8J8AnMScWQwlNJ4M,Magic Valley,4GQp1LbFHcJVkS9M5HUzAL,rock
